app,userName,at,score,title,content
Unacademy,archii070@,,1,THIS IS THE WORST APP I HAVE EVER SEEN .,this is the worst app . jab tak course purchase nhi karte tab tak call kar kar k preshan kar dete hain uske baad they all are like ki unhe matlab nhi h . bas unke pas paise phonch gye ab student ka time barbad ho paise barbad ho inhe koi matlb nahi h . all are coaching mafias . UNTIL YOU PURCHASE A COURSE THEY ARE LIKE CALL US ANYTIME BUT ONCE YOU HAVE HAVE PURCHASED THIS YOU ARE LEFT WITH NO OPTIONS. NEITHER THEY REPLY TO YOUR MAILS NOR CALLS. USELESS APP... I REQUEST YOU ALL OUT THERE THAT DONT SUBSCRIBE UNACADEMY . PLEASE DONT BUY ANY COURSE FROM UNACADEMY .PLEASE PLEASE PLEASE ... PURCHASE KARNE K BAAD M BOHT PRESHAN HU . 20 bar to app crash hoti h din .. bar bar uninstall kr k install kro fir b thik nhi hoti. aur fir wait karna padta hai hafte hafte bhar ka app ko use karne k liye . please dont buy. your money will be wasted
Unacademy,bhaisaaaab,,1,Worst app please don’t download it,This is the worst app even after deleting your account and deleting the app they keep calling you and irritating you please don’t download it worstt apppp
Unacademy,OmShekhar,,1,Green background behind educator!,Same as title.
Unacademy,Abcgfs66,,1,Not working in my IOS device,"Classes getting logged out continuously while watching. Several times tickets raised, no tracking of tickets available. No resolution of issue. IOS VERSION 17.5"
Unacademy,vipaksh,,1,Review,"Not working from starting days 
So bad Unaccemdy 
Don’t take admission"
Unacademy,Derekk07,,1,Not providing the subscription,I already joined the unacadmey offline batch and I almost completed 1.5 month and as yet I didn’t get the online live classes subscription. And they also don’t have the stock of modules and uniforms.
Unacademy,Prajwal.T.,,1,No technical support whatsoever.,"If you need to buy a subscription, you will get a call and if you need a technical support you have to send emails for weeks for a resolution. 
Worst online coaching platform."
Unacademy,Sajfgghhghf,,1,Technical problems,Some technical issues
Unacademy,Kapil Sharma 123,,1,Worth platform plz don’t buy any course,Worth platform plz don’t buy any course from un academy because once you purchase then no one pick  ur calls and no one clear ur doubts
Unacademy,Srushthi_s_b,,2,About costumer care,They have worst customer service they only contact you until you get subscription after that they will never give provide solution for your problem.. They only say you have to mail the support team and wait for 7-10 days in the end they never solve your problem..
Unacademy,AGNi214,,4,Free PYQ,Where is PYQ in the app
Unacademy,Currentflow12,,1,Your favourite teachers can leave anytime .,Never buy the subscription
Unacademy,Kajeri,,4,Issue with planner,"The learning experience is great, no problems with Unacademy but this app needs some fixes. Planner doesn’t get updated or is not in sync with the website. It’s been a couple of weeks updating my planner in website but it is still not different here."
Unacademy,Abhinav1702,,1,Worst Customer Support,"Took iconic subscription last week but they have still not assigned any mentor for me
I have been trying to reach out through multiple no’s but no response from them, even scheduled a call which shows on the website n all but it’s been now 4 days no reverts.
Before I took iconic subscription they used to call me like 6-8 times a day so as to increase their sales and now I’m really disappointed the way they act as if they don’t care
These people say that there is 24/7 support for learners out there like seriously? 

Worst customer service I’ve ever seen didn’t knew that this iconic is nothing but useless 
Guys please go for plus if y’all thinking about buy the subscription as iconic is a waste of money!"
Unacademy,Tush2002,,1,Bugs,Need an update to bug fixes
Unacademy,Slsw9389,,1,Poor Support from help centre,"From the you tube link i selected to purchase the subscription before installing the app in my phone, so by default the goal paid for CSE,CH ,ME . i wanted to switch to XE it was literally a change of class. The team doesn't understand the need of a student, a mail was written to support and help centre of unacademy but no use, received an automatic reply. I didnt expect this kind of experience from them. Poor management and lack of customer complaints handling strategies. IT ticket raised for the concern but no ticket reference number is shared. Sounds like fooling around !"
Unacademy,Bhuvan s.s,,1,Worst response,"Don’t subscribe to unacademy, worst studying app . No proper response once you get your subscription. They don’t pick your calls after you get their subscription"
Unacademy,Jinz411,,1,Very unprofessional app,I constantly face issues with the app and nobody does anything about it
Unacademy,Shalinshar,,1,Bugs,Please fix bugs for ios . I can’t find my planner although i have purchased the offline batch .
Unacademy,Riddhi Mourya,,1,Totally bakwas please don’t join Unacademy.,Ye sub paise ke bhukhe hai. Student ke bare me nahi sochate.
Unacademy,Sharmatushar14,,1,No Support from Technical Team,Being a Unacademy Plus member I thought I would get help regarding the issues on my account. Can’t access compete. My streak is broken. And when I try to chat with an agent I can’t due to Automatic Chat Options. Wouldn’t have expected this at all. Really dissatisfied
Unacademy,Jigyasha Dhuriya,,1,Worst app,Worst app ever I have taken Unacademy subscription but recorded classes are not working
Unacademy,A65428,,1,Not loading,"Many recorded classes are not loading…please fix the issue, I can’t study properly from few days."
Unacademy,|_||} Mom,,1,Waste of money,Fraud and worst offline coaching centre
Unacademy,adityyak,,1,centre experience,my centre’s library’s ac aint working from a whole week
Unacademy,Darahas Unacademy Vizag,,1,Worst the worst app,Not able to listen the classes properly neither the management nor the app developers can’t properly develop or design the app and are not customer friendly
