content,score,source,app,clean_review
"It is very good learning platform and their teachers are literally wow. They teach in a very clear and simple way even though hard and difficult chapters are become so easy and the best part is all teachers took doubt class , discussion class, practice class , extra class infact pajama class. It is just an amazing app . Thanks unacademy for making learning so easy",5,PlayStore,Unacademy,it is very good learning platform and their teachers are literally wow they teach in a very clear and simple way even though hard and difficult chapters are become so easy and the best part is all teachers took doubt class  discussion class practice class  extra class infact pajama class it is just an amazing app  thanks unacademy for making learning so easy
nice experience,5,PlayStore,Unacademy,nice experience
good experience,5,PlayStore,Unacademy,good experience
Best learning app in India with best educators.,5,PlayStore,Unacademy,best learning app in india with best educators
"it is always hindi we students as a non-hindi speakers can't understand anything. if there is a topic in need and it is in hindi ,i can't find a english version .",1,PlayStore,Unacademy,it is always hindi we students as a nonhindi speakers cant understand anything if there is a topic in need and it is in hindi i cant find a english version 
This is the worst app I have ever seen,1,PlayStore,Unacademy,this is the worst app i have ever seen
"it is the best online portal to learn any couse provided by the Unacademy's faculty..... if you desire to achieve success in competitive exams, you should join and feel the difference.",5,PlayStore,Unacademy,it is the best online portal to learn any couse provided by the unacademys faculty if you desire to achieve success in competitive exams you should join and feel the difference
On this platform.. I have experience of 4 yrs.. and trust me it the best in my view.. This is not a platform ... it has became an emotion for me.. it transformed me from an average to topper... it helped to find my potential... what I say about the teachers they are the true mentors.. not only online now I am pursuing unacademy offline.. and trust me.. it feels like heaven if u are reading it.. I would suggest to once try it..,5,PlayStore,Unacademy,on this platform i have experience of  yrs and trust me it the best in my view this is not a platform  it has became an emotion for me it transformed me from an average to topper it helped to find my potential what i say about the teachers they are the true mentors not only online now i am pursuing unacademy offline and trust me it feels like heaven if u are reading it i would suggest to once try it
no class regularly educator have server issue in every week 1)syllabus is to much slow prompting batches and marjing in new batch and revising again and again please fix these worst problem #please surve justice 2)taking classes in smart board is laging in every second,1,PlayStore,Unacademy,no class regularly educator have server issue in every week syllabus is to much slow prompting batches and marjing in new batch and revising again and again please fix these worst problem please surve justice taking classes in smart board is laging in every second
Please bring back all removed educators back mainly CA Bahubali team as I and my many friends have subscribed because of their teaching style and we are fan of those teachers if not refund our subscription money,5,PlayStore,Unacademy,please bring back all removed educators back mainly ca bahubali team as i and my many friends have subscribed because of their teaching style and we are fan of those teachers if not refund our subscription money
can't even find proper notes and dpp,3,PlayStore,Unacademy,cant even find proper notes and dpp
"Worst app . Worst Customer support. lackadaisical attitude of customer service . When a student going to pay money for batch , then are always there. but after the purchase, if you face any problem, you will not be entertained by them. They started giving baseless excuse. waste of money",1,PlayStore,Unacademy,worst app  worst customer support lackadaisical attitude of customer service  when a student going to pay money for batch  then are always there but after the purchase if you face any problem you will not be entertained by them they started giving baseless excuse waste of money
teachers are very Good and plus platform is like personal tuition.,5,PlayStore,Unacademy,teachers are very good and plus platform is like personal tuition
"I'm extremely disappointed with this app. They keep calling again and again, even after I clearly told them not to. Despite requesting multiple times to stop the calls, they continued. And the worst part? When I asked them firmly to stop, they blocked my ID without any explanation or warning. This is highly unprofessional. Not recommended at all. Please think twice before signing up.",1,PlayStore,Unacademy,im extremely disappointed with this app they keep calling again and again even after i clearly told them not to despite requesting multiple times to stop the calls they continued and the worst part when i asked them firmly to stop they blocked my id without any explanation or warning this is highly unprofessional not recommended at all please think twice before signing up
In kota centre they not provide the elp of class 11th...and every teacher give the home work..... and I m very disappointed to see this type of service of Unacademy..... staff says printing of elp is processing.....no one tell the fix date of elp...... and I m learner of Unacademy.... and same issue with Unacademy t shirt...... plz no one join the Unacademy. ...,1,PlayStore,Unacademy,in kota centre they not provide the elp of class thand every teacher give the home work and i m very disappointed to see this type of service of unacademy staff says printing of elp is processingno one tell the fix date of elp and i m learner of unacademy and same issue with unacademy t shirt plz no one join the unacademy 
"I am extremely disappointed with Unacademy's approach towards user engagement. I downloaded and explored the app just once out of curiosity. Ever since then, I’ve been getting continuous calls from different numbers, all trying to convince me to purchase a subscription. Despite clearly telling them that I’m not interested, the calls keep coming almost daily — and not just one or two, but from multiple numbers.",1,PlayStore,Unacademy,i am extremely disappointed with unacademys approach towards user engagement i downloaded and explored the app just once out of curiosity ever since then ive been getting continuous calls from different numbers all trying to convince me to purchase a subscription despite clearly telling them that im not interested the calls keep coming almost daily  and not just one or two but from multiple numbers
"it's just awesome all lectures are on time best study material provided by it ,in short best platform to study",5,PlayStore,Unacademy,its just awesome all lectures are on time best study material provided by it in short best platform to study
tell me pls this app teacher or pw teacher which is more good,5,PlayStore,Unacademy,tell me pls this app teacher or pw teacher which is more good
ek baar login karo bas uske call pick karte raho,1,PlayStore,Unacademy,ek baar login karo bas uske call pick karte raho
this learning platform is not good because the teachers does not teach the topic properly and the teachers teach the random chapter and chapters they won't even do,1,PlayStore,Unacademy,this learning platform is not good because the teachers does not teach the topic properly and the teachers teach the random chapter and chapters they wont even do
this app helps alot to me thanks to the unacademy teachers ....,5,PlayStore,Unacademy,this app helps alot to me thanks to the unacademy teachers 
guys please mat jana kbhi bhi yaha neet ya jee ke preparation ke inka app itna bekaar he na video quality na sound quality itna jyada bekaar jaa kar pachta rhi hu me bhopal ka toh aur bhi bekaar hi he me baaki logon nhi nhi fasne dena chahti hu,1,PlayStore,Unacademy,guys please mat jana kbhi bhi yaha neet ya jee ke preparation ke inka app itna bekaar he na video quality na sound quality itna jyada bekaar jaa kar pachta rhi hu me bhopal ka toh aur bhi bekaar hi he me baaki logon nhi nhi fasne dena chahti hu
good learning experience,4,PlayStore,Unacademy,good learning experience
I had an amazing experience and it helped me improve immensely. Success academy provided me with the required guidance and support to get the desired score in exams.The classes are highly interactive and help one build self confidence.The academy gave personal attention to everyone which served as a major factor clearly doubts and everything.All the teachers are very supportive and clears all the doubts on the very same day .Even they kept pushing me to reach my full potential.,5,PlayStore,Unacademy,i had an amazing experience and it helped me improve immensely success academy provided me with the required guidance and support to get the desired score in examsthe classes are highly interactive and help one build self confidencethe academy gave personal attention to everyone which served as a major factor clearly doubts and everythingall the teachers are very supportive and clears all the doubts on the very same day even they kept pushing me to reach my full potential
nice appp💖,5,PlayStore,Unacademy,nice appp
Best app to education,5,PlayStore,Unacademy,best app to education
hafsa maam is amazing educator she teach from zero to heri loved it ❤️,2,PlayStore,Unacademy,hafsa maam is amazing educator she teach from zero to heri loved it 
delivery time is slow,1,PlayStore,Unacademy,delivery time is slow
